,,Microsoft Date,Open,High,Low,Close,Typical Price,20-day SMA of TP,20-day Mean Deviation,20-day CCI,,,,
,1,24-Aug-10,23.94,24.20,23.85,23.89,23.98,,,,,,,
,2,25-Aug-10,23.85,24.07,23.72,23.95,23.92,,,,,,,
,3,26-Aug-10,23.94,24.04,23.64,23.67,23.79,,,,,,,
,4,27-Aug-10,23.73,23.87,23.37,23.78,23.67,,,,,,, 
,5,30-Aug-10,23.60,23.67,23.46,23.50,23.54,,,,,,,
,6,31-Aug-10,23.46,23.59,23.18,23.32,23.36,,,,,,,
,7,1-Sep-10,23.53,23.80,23.40,23.75,23.65,,,,,,,
,8,2-Sep-10,23.73,23.80,23.57,23.79,23.72,,,,,,,
,9,3-Sep-10,24.09,24.30,24.05,24.14,24.16,,,,,,,
,10,7-Sep-10,23.95,24.15,23.77,23.81,23.91,,,,,,,
,11,8-Sep-10,23.92,24.05,23.60,23.78,23.81,,,,,,,
,12,9-Sep-10,24.04,24.06,23.84,23.86,23.92,,,,,,,
,13,10-Sep-10,23.83,23.88,23.64,23.70,23.74,,,,,,,
,14,13-Sep-10,24.05,25.14,23.94,24.96,24.68,,,,,,,
,15,14-Sep-10,24.89,25.20,24.74,24.88,24.94,,,,,,,
,16,15-Sep-10,24.95,25.07,24.77,24.96,24.93,,,,,,,
,17,16-Sep-10,24.91,25.22,24.90,25.18,25.10,,,,,,,
,18,17-Sep-10,25.24,25.37,24.93,25.07,25.12,,,,,,,
,19,20-Sep-10,25.13,25.36,24.96,25.27,25.20,,,,,,,
,20,21-Sep-10,25.26,25.26,24.93,25.00,25.06,24.21,0.55,102.31,,,,
,21,22-Sep-10,24.74,24.82,24.21,24.46,24.50,24.24,0.56,30.74,,,,
,22,23-Sep-10,24.36,24.44,24.21,24.28,24.31,24.26,0.55,6.55,,,,
,23,24-Sep-10,24.49,24.65,24.43,24.62,24.57,24.30,0.54,33.30,,,,
,24,27-Sep-10,24.70,24.84,24.44,24.58,24.62,24.34,0.53,34.95,,,,
,25,28-Sep-10,24.65,24.75,24.20,24.53,24.49,24.39,0.49,13.84,,,,
,26,29-Sep-10,24.48,24.51,24.25,24.35,24.37,24.44,0.44,-10.75,,,,
,27,30-Sep-10,24.46,24.68,24.21,24.34,24.41,24.48,0.39,-11.58,,,,
,28,1-Oct-10,24.62,24.67,24.15,24.23,24.35,24.51,0.36,-29.35,,,,
,29,4-Oct-10,23.81,23.84,23.63,23.76,23.75,24.49,0.38,-129.36,,,,
,30,5-Oct-10,23.91,24.30,23.76,24.20,24.09,24.50,0.37,-73.07,,,,