,,Date,High, Low,Highest High (14),Lowest Low (14),Current Close,14-day Williams %R,,,,,,
,1,23-Feb-10,127.01,125.36,,,,,,,,,,
,2,24-Feb-10,127.62,126.16,,,,,,,,,,
,3,25-Feb-10,126.59,124.93,,,,,,,,,,
,4,26-Feb-10,127.35,126.09,,,,,,,,,,
,5,1-Mar-10,128.17,126.82,,,,,,,,,,
,6,2-Mar-10,128.43,126.48,,,,,,,,,,
,7,3-Mar-10,127.37,126.03,,,,,,,,,,
,8,4-Mar-10,126.42,124.83,,,,,,,,,,
,9,5-Mar-10,126.90,126.39,,,,,,,,,,
,10,8-Mar-10,126.85,125.72,,,,,,,,,,
,11,9-Mar-10,125.65,124.56,,,,,,,,,,
,12,10-Mar-10,125.72,124.57,,,,,,,,,,
,13,11-Mar-10,127.16,125.07,,,,,,,,,,
,14,12-Mar-10,127.72,126.86,128.43,124.56,127.29,-29.56,,,,,,
,15,15-Mar-10,127.69,126.63,128.43,124.56,127.18,-32.39,,,,,,
,16,16-Mar-10,128.22,126.80,128.43,124.56,128.01,-10.80,,,,,,
,17,17-Mar-10,128.27,126.71,128.43,124.56,127.11,-34.19,,,,,,
,18,18-Mar-10,128.09,126.80,128.43,124.56,127.73,-18.25,,,,,,
,19,19-Mar-10,128.27,126.13,128.43,124.56,127.06,-35.48,,,,,,
,20,22-Mar-10,127.74,125.92,128.27,124.56,127.33,-25.47,,,,,,
,21,23-Mar-10,128.77,126.99,128.77,124.56,128.71,-1.42,,,,,,
,22,24-Mar-10,129.29,127.81,129.29,124.56,127.87,-29.90,,,,,,
,23,25-Mar-10,130.06,128.47,130.06,124.56,128.58,-26.94,,,,,,
,24,26-Mar-10,129.12,128.06,130.06,124.56,128.60,-26.58,,,,,,
,25,29-Mar-10,129.29,127.61,130.06,124.57,127.93,-38.77,,,,,,
,26,30-Mar-10,128.47,127.60,130.06,125.07,128.11,-39.04,,,,,,
,27,31-Mar-10,128.09,127.00,130.06,125.92,127.60,-59.61,,,,,,
,28,1-Apr-10,128.65,126.90,130.06,125.92,127.60,-59.61,,,,,,
,29,5-Apr-10,129.14,127.49,130.06,125.92,128.69,-33.17,,,,,,
,30,6-Apr-10,128.64,127.40,130.06,125.92,128.27,-43.27,,,,,,